Run directory: ./outputs_sam_sirst_hq\NUAA_HQ_mllm_Qwen3_tokenCLIP_TSP1_TDPg03_SC_20260226_101308
MLLM TextConditioner enabled: text_dim=512, params=262656
Text sparse prompt enabled: tokens=1, params=262912
Text dense mask prompt enabled: type=global, hidden=128, heads=4, alpha=0.3, params=246785
[Epoch 148] loss=1.1038 miou=0.0590 niou=0.0868 f1=0.1114 pd=0.1480 fa=0.000025 thr=0.41 time=36.0s
[Epoch 149] loss=1.0646 miou=0.0806 niou=0.0976 f1=0.1492 pd=0.2244 fa=0.000057 thr=0.41 time=36.0s
[Epoch 150] loss=1.0171 miou=0.1204 niou=0.1980 f1=0.2149 pd=0.5927 fa=0.000650 thr=0.45 time=36.1s
[Epoch 151] loss=0.9764 miou=0.1194 niou=0.2450 f1=0.2133 pd=0.6747 fa=0.000644 thr=0.45 time=36.2s
[Epoch 152] loss=0.9408 miou=0.1395 niou=0.2721 f1=0.2449 pd=0.7269 fa=0.000758 thr=0.45 time=36.0s
[Epoch 153] loss=0.8709 miou=0.0840 niou=0.2299 f1=0.1550 pd=0.7944 fa=0.001929 thr=0.48 time=36.3s
[Epoch 154] loss=0.8902 miou=0.1309 niou=0.2812 f1=0.2315 pd=0.7371 fa=0.000924 thr=0.46 time=36.2s
[Epoch 155] loss=0.8311 miou=0.1434 niou=0.2847 f1=0.2508 pd=0.7294 fa=0.000827 thr=0.45 time=36.1s
[Epoch 156] loss=0.8257 miou=0.1218 niou=0.2846 f1=0.2171 pd=0.7412 fa=0.001032 thr=0.45 time=36.2s
[Epoch 157] loss=0.8101 miou=0.1219 niou=0.3220 f1=0.2174 pd=0.8259 fa=0.001455 thr=0.46 time=36.0s
[Epoch 158] loss=0.8012 miou=0.1428 niou=0.3132 f1=0.2499 pd=0.7897 fa=0.001018 thr=0.47 time=36.2s
[Epoch 159] loss=0.7911 miou=0.2077 niou=0.3493 f1=0.3440 pd=0.7686 fa=0.000532 thr=0.44 time=36.1s
